"name","description"
"id",
"cds","County/District/School code"
"stype","Type: 1=Unified, 2=Elementary District, 3=9-12 High District, 4=7-12 High District, E=Elementary School, M=Middle School, H=High School"
"sname","School Name"
"dname","District Name"
"cname","County Name"
"flag","Flag Values"
"api","[This Year] API (Base)"
"pct_test","Percentage of Students Tested"
"valid_num","Number of Students Included in the [This Year] Academic Performance Index (API)"
"st_rank","Statewide Rank (I=Invalid data, B=District or ASAM, C=Special Education School . )"
"sum_rank","Similar Schools Rank"
"gr_targ","[Next Year Range] API Growth Target (A=means the school or student group scored at or above the statewide performance target of 800 in [This Year], B=This is an LEA, C=means this is a special education school.)"
"api_targ","[Next Year] API Target (A=means the school or student group scored at or above the statewide performance target of 800 in [This Year], B=This is an LEA, C=means this is a special education school.)"
"aa_num","Number of Black or African Americans Included in API"
"aa_sig","Black or African Americans Significant?(Yes/No)"
"aa_api","[This Year] Black or African American API (Base)"
"aa_gt","[Next Year Range] Black or African American student group Growth Target"
"aa_targ","[Next Year] Black or African American student group API Target"
"ai_num","Number of American Indian/Alaska Native Included in API"
"ai_sig","American Indian/Alaska Native Significant?(Yes/No)"
"ai_api","[This Year] American Indian/Alaska Native API (Base)"
"ai_gt","[Next Year Range] American Indian/Alaska Native student group Growth Target"
"ai_targ","[Next Year] American Indian/Alaska Native student group API Target"
"as_num","Number of Asian Included in API"
"as_sig","Asian Significant?(Yes/No)"
"as_api","[This Year] Asian API (Base)"
"as_gt","[Next Year Range] Asian student group Growth Target"
"as_targ","[Next Year] Asian student group API Target"
"fi_num","Number of Filipino Included in API"
"fi_sig","Filipino Significant?(Yes/No)"
"fi_api","[This Year] Filipino API (Base)"
"fi_gt","[Next Year Range] Filipino student group Growth Target"
"fi_targ","[Next Year] Filipino student group API Target"
"hi_num","Number of Hispanic or Latino included in API"
"hi_sig","Hispanic or Latino Significant?(Yes/No)"
"hi_api","[This Year] Hispanic or Latino API (Base)"
"hi_gt","[Next Year Range]Hispanic or Latino student group Growth Target"
"hi_targ","[Next Year] Hispanic or Latino student group API Target"
"pi_num","Number of Native Hawaiian/Pacific Islander Included in API"
"pi_sig","Native Hawaiian/Pacific Islander Significant?(Yes/No)"
"pi_api","[This Year] Native Hawaiian/Pacific Islander API (Base)"
"pi_gt","[Next Year Range] Native Hawaiian/Pacific Islander student group Growth Target"
"pi_targ","[Next Year] student group Native Hawaiian/Pacific Islander API Target"
"wh_num","Number of White included in API"
"wh_sig","White Significant?(Yes/No)"
"wh_api","[This Year] White API (Base)"
"wh_gt","[Next Year Range] White student group Growth Target"
"wh_targ","[Next Year] White API Target"
"sd_num","Number of Socioeconomically Disadvantaged (SD) Students Included in API"
"sd_sig","Socioeconomically Disadvantaged Significant?(Yes/No)"
"sd_api","[This Year] Socioeconomically Disadvantaged API (Base)"
"sd_gt","[Next Year Range] Socioeconomically Disadvantaged student group Growth Target"
"sd_targ","[Next Year] Socioeconomically Disadvantaged API Target"
"pct_aa","Percent Black or African American"
"pct_ai","Percent American Indian"
"pct_as","Percent Asian"
"pct_fi","Percent Filipino"
"pct_hi","Percent Hispanic or Latino"
"pct_pi","Percent Native Hawaiian/Pacific Islander"
"pct_wh","Percent White"
"meals","Percentage of Students Tested that are eligible for Free or Reduced Price Lunch Program"
"ell","Percent English Language Learners"
"yr_rnd","Year Round School"
"mobility","Percentage of Students Who First Attended this School in the Present Year"
"acs_k3","Average Class Size (Grades K-3)"
"acs_46","Average Class Size (Grades 4-6)"
"acs_core","Number of Core Academic Courses"
"pct_resp","Percent of Student Answer Documents with Parent Education Level Information"
"not_hsg","Parent Education Level: Percent Not High School Graduate"
"hsg","Parent Education Level: Percent High School Graduate"
"some_col","Parent Education Level: Percent Some College"
"col_grad","Parent Education Level: Percent College Graduate"
"grad_sch","Parent Education Level: Percent Graduate School"
"avg_ed","Average Parent Education Level"
"full","Percent Teachers at this school with Full Credentials"
"emer","Percent Teachers at this school with Emergency Credentials"
"enroll","Number of Students Enrolled on the First Day of Testing for Grades 2-11"
"iep","Number of Students Excused from Testing by Individualized Education Program Statement"
"parent_opt","Number of Students Excused from Testing by Parental Written Request"
"tested","Number of Students Tested on STAR"
"sci","School Characteristic Index"
"sim_rank","Similar Schools Rank (I=Invalid data, B=District or ASAM, C=Special Education School, O=Schools with SCI changed because of data change, but similar school ranks not changed, S - Schools whose SCI changed and their Similar School Ranks also changed. Blank=The school had less than 100 valid test scores, therefore it does not receive an SCI score.)"
"el","Percent English Learners"
"small","S=Small School, Blank=Not a Small School"
"smob","Percentage of Students Who First Attended this School in the Present Year"
"dmob","Percentage of Students counted as part of district enrollment in the October [Last Year] Fall census and has been continuously enrolled since that date"
"rtype","Record Type: (D=District, S=School, X=State)"
"capam","Students marked as taking the California Alternate Performance Assessment (CAPA)"
"capat","Number of Students Tested on CAPA"
"cbmob","Percentage of Students counted as part of school enrollment in the October [Last Year] Fall census and has been continuously enrolled since that date"
"dfc","Direct Funded Charter Y=Yes, N=No"
"vcst_e28","Valid Score for California Standards Test (CST) in English-language arts Grades 2-8"
"pcst_e28","Product of Test Weights Multiplied by Valid scores for CST in English-language arts Grades 2-8"
"vcst_e911","Valid Score for CST in English-language arts Grades 9-11"
"pcst_e911","Product of Test Weights Multiplied by Valid scores for CST in English-language arts Grades 9-11"
"cw_cste","School Content Area Weights Percentage in CST English-language arts"
"vcst_m28","Valid Score for CST in mathematics Grades 2-8"
"pcst_m28","Product of Test Weights Multiplied by Valid scores for CST in mathematics Grades 2-8"
"vcst_m911","Valid Score for CST in mathematics Grades 9-11"
"pcst_m911","Product of Test Weights Multiplied by Valid scores for CST in mathematics Grades 9-11"
"cw_cstm","School Content Area Weights Percentage in CST mathematics"
"vcst_s28","Valid Score for CST in science Grades 2-8"
"pcst_s28","Product of Test Weights Multiplied by Valid scores for CST in science Grades 2-8"
"vcst_s911","Valid Score for CST in science Grades 9-11 (End of Course, CST )"
"pcst_s911","Product of Test Weights Multiplied by Valid scores for CST in science Grades 9-11 (End of Course, CST )"
"cw_csts","School Content Area Weights Percentage in CST science"
"vcst_h28","Valid Score for CST in history-social science Grades 2-8"
"pcst_h28","Product of Test Weights Multiplied by Valid scores for CST in history-social science Grades 2-8"
"vcst_h911","Valid Score for CST in history-social science Grades 9-11"
"pcst_h911","Product of Test Weights Multiplied by Valid scores for CST in history-social science Grades 9-11"
"cw_csth","School Content Area Weights Percentage in CST history-social science"
"vnrt_r28","Valid Score for Norm-Referenced Test (NRT) Reading in Grades 2-8"
"pnrt_r28","Product of Test Weights Multiplied by Valid scores for NRT Reading in Grades 2-8"
"cw_nrtr","School Content Area Weights Percentage in NRT Reading"
"vnrt_l28","Valid Score for NRT Language in Grades 2-8"
"pnrt_l28","Product of Test Weights Multiplied by Valid scores for NRT Language in Grades 2-8"
"cw_nrtl","School Content Area Weights Percentage in NRT Language"
"vnrt_s28","Valid Score for NRT Spelling in Grades 2-8"
"pnrt_s28","Product of Test Weights Multiplied by Valid scores for NRT Spelling in Grades 2-8"
"cw_nrts","School Content Area Weights Percentage in NRT Spelling"
"vnrt_m28","Valid Score for NRT Mathematics in Grades 2-8"
"pnrt_m28","Product of Test Weights Multiplied by Valid scores for NRT Mathematics in Grades 2-8"
"cw_nrtm","School Content Area Weights Percentage in NRT Mathematics"
"vchs_e911","Valid Score for California High School Exit Exam (CAHSEE) ELA in Grades 9-11"
"pchs_e911","Product of Test Weights Multiplied by Valid scores for CAHSEE ELA in Grades 9-11"
"cw_chse","School Content Area Weights Percentage in CAHSEE ELA"
"vchs_m911","Valid Score for CAHSEE mathematics in Grades 9-11"
"pchs_m911","Product of Test Weights Multiplied by Valid scores for CAHSEE mathematics in Grades 9-11"
"cw_chsm","School Content Area Weights Percentage in CAHSEE mathematics"
"tot_28","Product of Total of Test Weights Multiplied by Total of Valid scores in Grades 2-8"
"tot_911","Product of Total of Test Weights Multiplied by Total of Valid scores in Grades 9-11"
"sped","A=Alternative Schools Accountability Model (ASAM), E=Special Education, and C=Combination ASAM and Special Education, S=State Special Schools"
"size","S=Small (11-99 Valid Scores), T=Under 11 Valid Scores"
"charter","Y=Charter, Not Direct Funded, D=Direct Funded Charter, Blank=Not a Charter School"
"el_num","Number of English Learner Students Included in API"
"el_sig","English Learner Significant?(Yes/No)"
"el_api","[This Year] English Learner API (Base)"
"el_gt","[Next Year Range] English Learner student group Growth Target"
"el_targ","[Next Year] English Learner API Target"
"di_num","Number of Students with Disabilities Included in API"
"di_sig","Students with Disabilities Significant?(Yes/No)"
"di_api","[This Year] Students with Disabilities API (Base)"
"di_gt","[Next Year Range] Students with Disabilities student group Growth Target"
"di_targ","[Next Year] Students with Disabilities API Target"
"p_fday","Percent of participants in full day Reduced Class Size Program (Standardized Testing and Reporting or STAR)"
"p_gate","Percent of participants in Gifted and Talented education programs (STAR)"
"p_miged","Percent of participants in migrant education programs (STAR)"
"p_el","Percent English Learners"
"p_rfep","Percent of Reclassified Fluent-English-Proficient (RFEP) students (STAR)"
"p_di","Percent of Students with Disabilities (STAR)"
"pen_2","Percent of Enrollments in grade 2 (STAR)"
"pen_35","Percent of Enrollments in grades 3-5 (STAR)"
"pen_6","Percent of Enrollments in grade 6 (STAR)"
"pen_78","Percent of Enrollments in grades 7-8 (STAR)"
"pen_911","Percent of Enrollments in grades 9-11 (STAR)"
"valid","Number of Students Included in the [This Year] Academic Performance Index (API)"
"cw_ls10","School Content Area Weights Percentage in CST Life Science Grade 10 only"
"vcst_ls10","Valid Score for CST in Life Science Grade 10 only"
"pcst_ls10","Product of Test Weights Multiplied by Valid scores for CST in Life Science Grade 10 only"
"cwm2_28","School Content Area Weights Percentage for Mathematics Assignment of 200 CST in grades 2-8"
"vcstm2_28","Valid Score for Mathematics Assignment of 200 CST in Grades 2-8"
"pcstm2_28","Product of Test Weights Multiplied by Valid scores for Mathematics Assignment of 200 CST in Grades 2-8"
"cwm2_911","School Content Area Weights Percentage for Mathematics Assignment of 200 CST in grades 9-11"
"vcstm2_911","Valid Score for Mathematics Assignment of 200 CST in Grades 9-11"
"pcstm2_911","Product of Test Weights Multiplied by Valid scores for Mathematics Assignment of 200 CST in Grades 9-11"
"cws2_911","School Content Area Weights Percentage for Science Assignment of 200 CST in grades 9-11"
"vcsts2_911","Valid Score for Science Assignment of 200 CST in Grades 9-11"
"pcsts2_911","Product of Test Weights Multiplied by Valid scores for Science Assignment of 200 CST in Grades 9-11"
"irg5","Testing irregularities greater than zero but less than 5 percent. (Y=Yes)"
"cws_911","School Content Area Weights Percentage in CST science (End of Course, CST )"
"cw_sci","School Content Area Weights Percentage in CST Life Science Grade 10 and Grades 2-8"
"cma_adj","The number of valid records excluded for any of the content areas due to the CMA adjustment."
"cma_adj_ela","The number of valid ELA records excluded for any of the content areas due to the CMA adjustment, Grades 10 & 11"
"cma_adj_math","The number of valid Math records excluded for any of the content areas due to the CMA adjustment, Grades 8-11"
"cma_adj_sci","The number of valid Science records excluded for any of the content areas due to the CMA adjustment, Grade 10"
"mr_num","Number of students who marked 'Two or More Races' included in API"
"mr_sig","'Two or More Races' Significant?(Yes/No)"
"mr_api","[This Year] 'Two or More Races' API (Base)"
"mr_gt","[Next Year Range] 'Two or More Races' Growth Target"
"mr_targ","[Next Year] 'Two or More Races' API Target"
"pct_mr","Percent 'Two or More Races'"
